url,status,http_status,word_count,title,source,date,query_family,query_id,extraction_status,extraction_method,raw_html_path,cleaned_text_path,error_message
https://www.freepressjournal.in/mumbai/detergent-urea-refined-oil-alleged-milk-adulteration-racket-busted-in-mumbais-andheri-viral-video-reveals-shocking-details,success,200,478,"'Detergent, Urea, Refined Oil': Alleged Milk Adulteration Racket Busted In Mumbai's Andheri; Viral Video Reveals Shocking Details",freepressjournal.in,2025-12-27,boolean,boolean_core_oils_fraud,success,trafilatura,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\raw_html\freepressjournal.in\501b0b893bbb5298.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\freepressjournal.in\501b0b893bbb5298.txt,
https://www.thehindu.com/news/national/kerala/sale-of-adulterated-coconut-oil-farmers-elated-over-shrcs-intervention/article70651539.ece,success,200,428,Sale of adulterated coconut oil: farmers elated over SHRC’s intervention,thehindu.com,2026-02-19,boolean,boolean_core_oils_fraud,success,trafilatura,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\raw_html\thehindu.com\4757ff80a039e950.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\thehindu.com\4757ff80a039e950.txt,
https://thelogicalindian.com/10000-kg-rotten-dates-and-adulterated-oil-seized-what-kanpurs-festival-crackdown-reveals/,failed,,,"10,000 Kg Rotten Dates And Adulterated Oil Seized: What Kanpur’s Festival Crackdown Reveals",thelogicalindian.com,2026-02-26,boolean,boolean_core_oils_fraud,,,,,"Playwright: Page.goto: net::ERR_CERT_AUTHORITY_INVALID at https://thelogicalindian.com/10000-kg-rotten-dates-and-adulterated-oil-seized-what-kanpurs-festival-crackdown-reveals/
Call log:
  - navigating to ""https://thelogicalindian.com/10000-kg-rotten-dates-and-adulterated-oil-seized-what-kanpurs-festival-crackdown-reveals/"", waiting until ""domcontentloaded""
"
https://www.thehindu.com/news/cities/Hyderabad/illegal-samosa-making-unit-busted-in-hyderabads-jiyaguda-stale-eggs-used-cooking-oil-seized/article70768563.ece,success,200,101,"Illegal samosa making unit busted in Hyderabad’s Jiyaguda; stale eggs, used cooking oil seized",thehindu.com,2026-03-21,title_only,title_oils_enforcement,success,trafilatura,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\raw_html\thehindu.com\99c5f9e759153988.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\thehindu.com\99c5f9e759153988.txt,
https://www.thehindu.com/news/cities/Hyderabad/1000-kg-onions-destroyed-480-kg-cooking-oil-seized-in-kukatpally/article70894399.ece,success,200,146,"1,000 kg onions destroyed, 480 kg cooking oil seized in Kukatpally",thehindu.com,2026-04-23,title_only,title_oils_enforcement,success,trafilatura,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\raw_html\thehindu.com\0be271946690ec0f.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\thehindu.com\0be271946690ec0f.txt,
https://www.ndtv.com/food/unsafe-oil-aata-worth-rs-64-lakh-busted-in-hyderabad-raids-38-arrested-in-4-months-11401791,failed,403,,"Unsafe Oil, <i>Aata</i> Worth Rs 64 Lakh Seized In Hyderabad Raids, 38 Arrested In 4 Months",ndtv.com,2026-04-24,boolean,boolean_core_oils_fraud,,,,,Playwright: empty page
https://www.thehindu.com/news/cities/Hyderabad/food-safety-inspection-flags-unsafe-cooking-oil-at-kfc-outlet-in-kondapur/article70940073.ece,success,200,137,Food safety inspection flags unsafe cooking oil at KFC outlet in Kondapur,thehindu.com,2026-05-04,title_only,title_core_oils_fraud,success,trafilatura,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\raw_html\thehindu.com\ab62ee6b4a14cd4a.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\thehindu.com\ab62ee6b4a14cd4a.txt,
https://www.freepressjournal.in/indore/madhya-pradesh-oil-factory-owner-in-indore-arrested-for-packing-palm-oil-in-branded-soyabean-oil-packets,success,200,163,Madhya Pradesh: Oil factory owner in Indore arrested for packing palm oil in branded soyabean oil packets,freepressjournal.in,2021-01-09,title_only,title_oils_enforcement,success,trafilatura,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\raw_html\freepressjournal.in\cfd4f1d3f711a2ad.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\freepressjournal.in\cfd4f1d3f711a2ad.txt,
https://www.sentinelassam.com/international/bangladesh-can-export-edible-oil-to-india-indian-envoy-525983,success,200,510,Bangladesh can export edible oil to India: Indian envoy,sentinelassam.com,2021-02-25,title_only,title_oils_enforcement,success,trafilatura,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\raw_html\sentinelassam.com\c3b653a49defc4b4.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\sentinelassam.com\c3b653a49defc4b4.txt,
https://www.thehindubusinessline.com/economy/agri-business/all-it-takes-is-a-slick-of-edible-oil-to-arrest-water-evaporation/article34141034.ece,success,200,348,‘All it takes is a slick of edible oil to arrest water evaporation’ ,thehindubusinessline.com,2021-03-23,title_only,title_oils_enforcement,success,trafilatura,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\raw_html\thehindubusinessline.com\4266a2fac080d608.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\thehindubusinessline.com\4266a2fac080d608.txt,
https://www.newindianexpress.com/world/2021/apr/06/sri-lanka-bans-palm-oil-imports-with-immediate-effect-asks-plantations-to-uproot-trees-2286572.html,success,200,551,Sri Lanka bans palm oil imports with immediate effect; asks plantations to uproot trees,newindianexpress.com,2021-04-06,title_only,title_oils_enforcement,success,trafilatura,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\raw_html\newindianexpress.com\b8860af074e30b4f.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\newindianexpress.com\b8860af074e30b4f.txt,
https://www.sentinelassam.com/north-east-india-news/assam-news/assam-amid-rising-cooking-oil-price-thief-arrested-in-hojai-for-stealing-mustard-oil-561391,success,200,236,Assam: Amid Rising Cooking Oil Price Thief Arrested in Hojai for Stealing Mustard Oil,sentinelassam.com,2021-11-01,title_only,title_oils_enforcement,success,trafilatura,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\raw_html\sentinelassam.com\b50cd1448e32fb75.html,C:\Users\yuvra\OneDrive\Desktop\RAship\FoodComputing\news_crawler\data\runs\edible_oils_boolean_title_proximity_2026-06-22\mediacloud\cleaned_text\sentinelassam.com\b50cd1448e32fb75.txt,
