model_name,representation,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn
hf_deberta-v3-small_lead_512,title_plus_body_full,0.7166,0.5278,0.875,0.6584,0.845,0.7103,133,119,19,216
hf_roberta-base_oil_window_512,title_plus_oil_windows,0.7823,0.6474,0.6645,0.6558,0.8658,0.7465,101,55,51,280
emb_minilm_lr,full_chunk_mean,0.7741,0.6296,0.6711,0.6497,0.8343,0.6383,102,60,50,275
hf_longformer_full,title_plus_body_full,0.7741,0.6364,0.6447,0.6405,0.8527,0.7346,98,56,54,279
hf_distilbert-base-uncased_oil_window_512,title_plus_oil_windows,0.7741,0.64,0.6316,0.6358,0.8443,0.693,96,54,56,281
hf_deberta-v3-small_chunk_pool_full,title_plus_body_full,0.7515,0.5886,0.6776,0.63,0.8451,0.6992,103,72,49,263
emb_e5-large_linsvm,oil_window_embedding,0.7762,0.8308,0.3553,0.4977,0.8803,0.7794,54,11,98,324
emb_e5-large_linsvm,full_chunk_mean,0.768,0.8305,0.3224,0.4645,0.8354,0.7048,49,10,103,325
emb_bge-large_linsvm,full_chunk_max,0.768,0.8679,0.3026,0.4488,0.871,0.7607,46,7,106,328
emb_bge-large_linsvm,oil_window_embedding,0.7618,0.875,0.2763,0.42,0.8662,0.7269,42,6,110,329
emb_bge-large_linsvm,full_chunk_mean,0.7598,0.8571,0.2763,0.4179,0.8647,0.748,42,7,110,328
emb_e5-large_linsvm,full_chunk_max,0.7598,0.8723,0.2697,0.4121,0.8388,0.7331,41,6,111,329
emb_minilm_linsvm,oil_window_embedding,0.7474,0.7959,0.2566,0.3881,0.8522,0.6833,39,10,113,325
emb_mpnet_linsvm,oil_window_embedding,0.7474,0.8085,0.25,0.3819,0.865,0.7195,38,9,114,326
emb_mpnet_linsvm,full_chunk_mean,0.7474,0.8085,0.25,0.3819,0.8411,0.7071,38,9,114,326
emb_mpnet_linsvm,full_chunk_max,0.7454,0.8043,0.2434,0.3737,0.8545,0.734,37,9,115,326
emb_minilm_linsvm,full_chunk_mean,0.7064,0.6154,0.1579,0.2513,0.8118,0.6058,24,15,128,320
emb_minilm_linsvm,full_chunk_max,0.7105,0.6667,0.1447,0.2378,0.8175,0.633,22,11,130,324
