feature,coefficient,direction,model_name,representation
adulterated,0.60491,positive,tfidf_phrase_svm,title_only
conducted,0.60088,positive,tfidf_phrase_svm,title_only
adulterated cooking,0.59772,positive,tfidf_phrase_svm,title_only
adulterated cooking oil,0.59772,positive,tfidf_phrase_svm,title_only
action,0.59252,positive,tfidf_phrase_svm,title_only
poisoning,0.57598,positive,tfidf_phrase_svm,title_only
nashik,0.57459,positive,tfidf_phrase_svm,title_only
loose,0.56931,positive,tfidf_phrase_svm,title_only
in lucknow,0.55425,positive,tfidf_phrase_svm,title_only
on,0.55072,positive,tfidf_phrase_svm,title_only
amc seizes,0.53064,positive,tfidf_phrase_svm,title_only
testing,0.52871,positive,tfidf_phrase_svm,title_only
on adulterated,0.52267,positive,tfidf_phrase_svm,title_only
raids in,0.51543,positive,tfidf_phrase_svm,title_only
crackdown on adulterated,0.51149,positive,tfidf_phrase_svm,title_only
edible oil samples,0.5021,positive,tfidf_phrase_svm,title_only
paneer,-1.00656,negative,tfidf_phrase_svm,title_only
palm oil,-0.82632,negative,tfidf_phrase_svm,title_only
palm,-0.77637,negative,tfidf_phrase_svm,title_only
ludhiana,-0.76446,negative,tfidf_phrase_svm,title_only
ban,-0.69995,negative,tfidf_phrase_svm,title_only
as,-0.66692,negative,tfidf_phrase_svm,title_only
milk,-0.66241,negative,tfidf_phrase_svm,title_only
to,-0.62344,negative,tfidf_phrase_svm,title_only
of edible oil,-0.54605,negative,tfidf_phrase_svm,title_only
is,-0.52636,negative,tfidf_phrase_svm,title_only
collects,-0.5247,negative,tfidf_phrase_svm,title_only
cops,-0.5003,negative,tfidf_phrase_svm,title_only
worth rs,-0.49349,negative,tfidf_phrase_svm,title_only
arrested,-0.48595,negative,tfidf_phrase_svm,title_only
for,-0.4607,negative,tfidf_phrase_svm,title_only
raid,-0.45754,negative,tfidf_phrase_svm,title_only
indonesia,-0.45222,negative,tfidf_phrase_svm,title_only
more,-0.45153,negative,tfidf_phrase_svm,title_only
fire,-0.44958,negative,tfidf_phrase_svm,title_only
cooking,-0.44842,negative,tfidf_phrase_svm,title_only
cooking oil,-0.44307,negative,tfidf_phrase_svm,title_only
export,-0.43314,negative,tfidf_phrase_svm,title_only
with,-0.4317,negative,tfidf_phrase_svm,title_only
mp,-0.4304,negative,tfidf_phrase_svm,title_only
units in,-0.42813,negative,tfidf_phrase_svm,title_only
dates,-0.42703,negative,tfidf_phrase_svm,title_only
oil worth rs,-0.42147,negative,tfidf_phrase_svm,title_only
imported,-0.40577,negative,tfidf_phrase_svm,title_only
adulterated food items,-0.40518,negative,tfidf_phrase_svm,title_only
drive,-0.40318,negative,tfidf_phrase_svm,title_only
coconut oil,0.62752,positive,tfidf_phrase_svm,body_only
coconut,0.60157,positive,tfidf_phrase_svm,body_only
adulteration,0.5458,positive,tfidf_phrase_svm,body_only
the oil,0.50537,positive,tfidf_phrase_svm,body_only
oil,0.50136,positive,tfidf_phrase_svm,body_only
adulterated,0.43919,positive,tfidf_phrase_svm,body_only
quality,0.43096,positive,tfidf_phrase_svm,body_only
sale,0.41256,positive,tfidf_phrase_svm,body_only
oil was,0.39809,positive,tfidf_phrase_svm,body_only
brand,0.39679,positive,tfidf_phrase_svm,body_only
fsda,0.38759,positive,tfidf_phrase_svm,body_only
were,0.3859,positive,tfidf_phrase_svm,body_only
substandard,0.36984,positive,tfidf_phrase_svm,body_only
were seized,0.36565,positive,tfidf_phrase_svm,body_only
sale of,0.36296,positive,tfidf_phrase_svm,body_only
brands,0.36024,positive,tfidf_phrase_svm,body_only
found,0.3518,positive,tfidf_phrase_svm,body_only
fake,0.35096,positive,tfidf_phrase_svm,body_only
were found,0.34936,positive,tfidf_phrase_svm,body_only
litres,0.34746,positive,tfidf_phrase_svm,body_only
of oil,0.34527,positive,tfidf_phrase_svm,body_only
being,0.34427,positive,tfidf_phrase_svm,body_only
litres of,0.34262,positive,tfidf_phrase_svm,body_only
of coconut oil,0.33851,positive,tfidf_phrase_svm,body_only
raids,0.33522,positive,tfidf_phrase_svm,body_only
of coconut,0.33477,positive,tfidf_phrase_svm,body_only
seized,0.3346,positive,tfidf_phrase_svm,body_only
loose,0.32157,positive,tfidf_phrase_svm,body_only
adulterated edible,0.31888,positive,tfidf_phrase_svm,body_only
mustard oil,0.3101,positive,tfidf_phrase_svm,body_only
paneer,-0.38791,negative,tfidf_phrase_svm,body_only
palm oil,-0.32404,negative,tfidf_phrase_svm,body_only
of palm,-0.30457,negative,tfidf_phrase_svm,body_only
palm,-0.29886,negative,tfidf_phrase_svm,body_only
of palm oil,-0.29387,negative,tfidf_phrase_svm,body_only
there,-0.29193,negative,tfidf_phrase_svm,body_only
ban,-0.28386,negative,tfidf_phrase_svm,body_only
however,-0.25726,negative,tfidf_phrase_svm,body_only
indonesia,-0.25322,negative,tfidf_phrase_svm,body_only
made,-0.24822,negative,tfidf_phrase_svm,body_only
milk,-0.24264,negative,tfidf_phrase_svm,body_only
fire,-0.23721,negative,tfidf_phrase_svm,body_only
prices,-0.23344,negative,tfidf_phrase_svm,body_only
per,-0.22854,negative,tfidf_phrase_svm,body_only
imports,-0.22788,negative,tfidf_phrase_svm,body_only
11,-0.22043,negative,tfidf_phrase_svm,body_only
the campaign,-0.21887,negative,tfidf_phrase_svm,body_only
import,-0.21879,negative,tfidf_phrase_svm,body_only
analogue,-0.21837,negative,tfidf_phrase_svm,body_only
domestic,-0.21608,negative,tfidf_phrase_svm,body_only
tax,-0.20497,negative,tfidf_phrase_svm,body_only
adulterated food items,-0.2024,negative,tfidf_phrase_svm,body_only
the fssai,-0.19955,negative,tfidf_phrase_svm,body_only
restaurants,-0.19801,negative,tfidf_phrase_svm,body_only
vegetable oil,-0.19794,negative,tfidf_phrase_svm,body_only
in the,-0.19679,negative,tfidf_phrase_svm,body_only
industry,-0.19623,negative,tfidf_phrase_svm,body_only
the police,-0.19609,negative,tfidf_phrase_svm,body_only
bus,-0.19444,negative,tfidf_phrase_svm,body_only
their,-0.19057,negative,tfidf_phrase_svm,body_only
coconut oil,0.65003,positive,tfidf_phrase_svm,title_plus_body
coconut,0.62803,positive,tfidf_phrase_svm,title_plus_body
adulteration,0.56439,positive,tfidf_phrase_svm,title_plus_body
the oil,0.47612,positive,tfidf_phrase_svm,title_plus_body
oil,0.45844,positive,tfidf_phrase_svm,title_plus_body
adulterated,0.45541,positive,tfidf_phrase_svm,title_plus_body
quality,0.42146,positive,tfidf_phrase_svm,title_plus_body
sale,0.4157,positive,tfidf_phrase_svm,title_plus_body
found,0.41292,positive,tfidf_phrase_svm,title_plus_body
litres,0.39534,positive,tfidf_phrase_svm,title_plus_body
fsda,0.38594,positive,tfidf_phrase_svm,title_plus_body
brand,0.38483,positive,tfidf_phrase_svm,title_plus_body
litres of,0.37889,positive,tfidf_phrase_svm,title_plus_body
oil was,0.37476,positive,tfidf_phrase_svm,title_plus_body
were,0.37392,positive,tfidf_phrase_svm,title_plus_body
sale of,0.36474,positive,tfidf_phrase_svm,title_plus_body
fake,0.36292,positive,tfidf_phrase_svm,title_plus_body
were seized,0.3583,positive,tfidf_phrase_svm,title_plus_body
of oil,0.3534,positive,tfidf_phrase_svm,title_plus_body
substandard,0.35282,positive,tfidf_phrase_svm,title_plus_body
were found,0.35265,positive,tfidf_phrase_svm,title_plus_body
loose,0.34773,positive,tfidf_phrase_svm,title_plus_body
brands,0.34499,positive,tfidf_phrase_svm,title_plus_body
raids,0.3436,positive,tfidf_phrase_svm,title_plus_body
adulterated edible,0.33433,positive,tfidf_phrase_svm,title_plus_body
000 litres,0.33229,positive,tfidf_phrase_svm,title_plus_body
being,0.33155,positive,tfidf_phrase_svm,title_plus_body
food safety department,0.32449,positive,tfidf_phrase_svm,title_plus_body
times of,0.31805,positive,tfidf_phrase_svm,title_plus_body
of coconut,0.31634,positive,tfidf_phrase_svm,title_plus_body
paneer,-0.39861,negative,tfidf_phrase_svm,title_plus_body
palm oil,-0.33722,negative,tfidf_phrase_svm,title_plus_body
ban,-0.3262,negative,tfidf_phrase_svm,title_plus_body
palm,-0.30384,negative,tfidf_phrase_svm,title_plus_body
of palm,-0.29442,negative,tfidf_phrase_svm,title_plus_body
of palm oil,-0.28497,negative,tfidf_phrase_svm,title_plus_body
there,-0.27898,negative,tfidf_phrase_svm,title_plus_body
indonesia,-0.26334,negative,tfidf_phrase_svm,title_plus_body
however,-0.24782,negative,tfidf_phrase_svm,title_plus_body
fire,-0.23995,negative,tfidf_phrase_svm,title_plus_body
milk,-0.23887,negative,tfidf_phrase_svm,title_plus_body
made,-0.23045,negative,tfidf_phrase_svm,title_plus_body
import,-0.2302,negative,tfidf_phrase_svm,title_plus_body
imports,-0.22984,negative,tfidf_phrase_svm,title_plus_body
prices,-0.22965,negative,tfidf_phrase_svm,title_plus_body
arrested,-0.22716,negative,tfidf_phrase_svm,title_plus_body
per,-0.22286,negative,tfidf_phrase_svm,title_plus_body
adulterated food items,-0.21833,negative,tfidf_phrase_svm,title_plus_body
analogue,-0.2155,negative,tfidf_phrase_svm,title_plus_body
the campaign,-0.21303,negative,tfidf_phrase_svm,title_plus_body
domestic,-0.2086,negative,tfidf_phrase_svm,title_plus_body
tax,-0.20722,negative,tfidf_phrase_svm,title_plus_body
11,-0.20613,negative,tfidf_phrase_svm,title_plus_body
fake paneer,-0.20185,negative,tfidf_phrase_svm,title_plus_body
restaurants,-0.20081,negative,tfidf_phrase_svm,title_plus_body
imported,-0.19744,negative,tfidf_phrase_svm,title_plus_body
vegetable oil,-0.19418,negative,tfidf_phrase_svm,title_plus_body
industry,-0.19211,negative,tfidf_phrase_svm,title_plus_body
the fssai,-0.19137,negative,tfidf_phrase_svm,title_plus_body
their,-0.19023,negative,tfidf_phrase_svm,title_plus_body
coconut oil,0.6893,positive,tfidf_phrase_svm,title_plus_keyword_windows
coconut,0.6544,positive,tfidf_phrase_svm,title_plus_keyword_windows
adulteration,0.57894,positive,tfidf_phrase_svm,title_plus_keyword_windows
adulterated,0.47371,positive,tfidf_phrase_svm,title_plus_keyword_windows
of oil,0.43861,positive,tfidf_phrase_svm,title_plus_keyword_windows
found,0.43375,positive,tfidf_phrase_svm,title_plus_keyword_windows
oil,0.42318,positive,tfidf_phrase_svm,title_plus_keyword_windows
adulterated edible,0.40086,positive,tfidf_phrase_svm,title_plus_keyword_windows
sale,0.40021,positive,tfidf_phrase_svm,title_plus_keyword_windows
substandard,0.39163,positive,tfidf_phrase_svm,title_plus_keyword_windows
quality,0.38175,positive,tfidf_phrase_svm,title_plus_keyword_windows
the oil,0.37978,positive,tfidf_phrase_svm,title_plus_keyword_windows
brands,0.37906,positive,tfidf_phrase_svm,title_plus_keyword_windows
fake,0.37367,positive,tfidf_phrase_svm,title_plus_keyword_windows
brand,0.37085,positive,tfidf_phrase_svm,title_plus_keyword_windows
were seized,0.37012,positive,tfidf_phrase_svm,title_plus_keyword_windows
sale of,0.36906,positive,tfidf_phrase_svm,title_plus_keyword_windows
fsda,0.36316,positive,tfidf_phrase_svm,title_plus_keyword_windows
were,0.3598,positive,tfidf_phrase_svm,title_plus_keyword_windows
loose,0.34507,positive,tfidf_phrase_svm,title_plus_keyword_windows
found to be,0.33905,positive,tfidf_phrase_svm,title_plus_keyword_windows
litres,0.3344,positive,tfidf_phrase_svm,title_plus_keyword_windows
adulterated cooking,0.32807,positive,tfidf_phrase_svm,title_plus_keyword_windows
packaging,0.32772,positive,tfidf_phrase_svm,title_plus_keyword_windows
of coconut oil,0.3258,positive,tfidf_phrase_svm,title_plus_keyword_windows
tested,0.32239,positive,tfidf_phrase_svm,title_plus_keyword_windows
of coconut,0.32235,positive,tfidf_phrase_svm,title_plus_keyword_windows
adulterated edible oil,0.31561,positive,tfidf_phrase_svm,title_plus_keyword_windows
raids,0.31514,positive,tfidf_phrase_svm,title_plus_keyword_windows
food safety department,0.31492,positive,tfidf_phrase_svm,title_plus_keyword_windows
paneer,-0.39685,negative,tfidf_phrase_svm,title_plus_keyword_windows
ban,-0.35409,negative,tfidf_phrase_svm,title_plus_keyword_windows
palm oil,-0.33876,negative,tfidf_phrase_svm,title_plus_keyword_windows
palm,-0.31137,negative,tfidf_phrase_svm,title_plus_keyword_windows
of palm,-0.29875,negative,tfidf_phrase_svm,title_plus_keyword_windows
milk,-0.2937,negative,tfidf_phrase_svm,title_plus_keyword_windows
fire,-0.29279,negative,tfidf_phrase_svm,title_plus_keyword_windows
of palm oil,-0.28866,negative,tfidf_phrase_svm,title_plus_keyword_windows
indonesia,-0.26664,negative,tfidf_phrase_svm,title_plus_keyword_windows
adulterated food items,-0.23824,negative,tfidf_phrase_svm,title_plus_keyword_windows
directed,-0.23645,negative,tfidf_phrase_svm,title_plus_keyword_windows
import,-0.23511,negative,tfidf_phrase_svm,title_plus_keyword_windows
per,-0.23252,negative,tfidf_phrase_svm,title_plus_keyword_windows
made,-0.23251,negative,tfidf_phrase_svm,title_plus_keyword_windows
11,-0.2325,negative,tfidf_phrase_svm,title_plus_keyword_windows
imports,-0.22885,negative,tfidf_phrase_svm,title_plus_keyword_windows
however,-0.22604,negative,tfidf_phrase_svm,title_plus_keyword_windows
their,-0.22579,negative,tfidf_phrase_svm,title_plus_keyword_windows
he,-0.2228,negative,tfidf_phrase_svm,title_plus_keyword_windows
vegetable oil,-0.22005,negative,tfidf_phrase_svm,title_plus_keyword_windows
analogue,-0.21843,negative,tfidf_phrase_svm,title_plus_keyword_windows
the campaign,-0.21775,negative,tfidf_phrase_svm,title_plus_keyword_windows
ludhiana,-0.21663,negative,tfidf_phrase_svm,title_plus_keyword_windows
ban on,-0.21659,negative,tfidf_phrase_svm,title_plus_keyword_windows
restaurants,-0.20848,negative,tfidf_phrase_svm,title_plus_keyword_windows
pradesh,-0.20794,negative,tfidf_phrase_svm,title_plus_keyword_windows
fake paneer,-0.20748,negative,tfidf_phrase_svm,title_plus_keyword_windows
domestic,-0.20655,negative,tfidf_phrase_svm,title_plus_keyword_windows
food department,-0.20261,negative,tfidf_phrase_svm,title_plus_keyword_windows
stolen,-0.20248,negative,tfidf_phrase_svm,title_plus_keyword_windows
