adulterant_or_substitute,food,distinct_articles,share_of_candidate_food_links_pct,candidate_total_food_link_articles
artificial ghee flavour,Ghee,2,100.0,2
saccharine,Milk,2,100.0,2
vegetable proteins,Paneer,2,100.0,2
esters,Ghee,2,100.0,2
spurious substance,Ghee,2,100.0,2
industrial grade acetic acid,Paneer,2,100.0,2
adulterated materials,ice cream,2,100.0,2
mannose,honey,2,100.0,2
maltose,honey,2,100.0,2
maltotriose,honey,2,100.0,2
corn syrup,honey,2,100.0,2
sugarcane syrup,honey,2,100.0,2
beetroot syrup,honey,2,100.0,2
non edible oils,Ghee,2,100.0,2
coloured stems,red chilli powder,2,100.0,2
other oil,Ghee,2,100.0,2
animal body fat,Ghee,2,100.0,2
unidentified oil,Ghee,2,100.0,2
artificial flavouring agents,Ghee,2,100.0,2
fats rendered from dead animals,Ghee,2,100.0,2
kokum butter,Ghee,2,100.0,2
unsafe substances,Ghee,2,100.0,2
mashed potatoes,Ghee,2,100.0,2
maize flour,Milk,2,100.0,2
non food grade substances,Paneer,2,100.0,2
adulterated ingredients,osmania biscuits,2,100.0,2
expired flavouring agents,ice cream,2,100.0,2
substandard synthetic colours,ice cream,2,100.0,2
metallic powders,mithai,2,100.0,2
aluminium foil,silver vark,2,100.0,2
vegetable cooking oil,Ghee,2,100.0,2
flour,Khoya/mawa,2,100.0,2
vegetable ghee,Ghee,2,100.0,2
synthetic essences,Ghee,2,100.0,2
synthetic essence of ghee,Ghee,2,100.0,2
unknown adulterant in paneer,Paneer,2,100.0,2
mono and diglycerides,Ghee,2,100.0,2
adulterated paneer,Paneer,2,100.0,2
non food grade silver foils,sweets,2,100.0,2
machine oil,edible oils,2,100.0,2
sawdust,spices,2,100.0,2
sodium bicarbonate,Milk,2,100.0,2
ammonia,fish,2,100.0,2
hazardous waste,Milk,2,100.0,2
hormonal growth promoters,poultry,2,100.0,2
glycol,Milk,2,100.0,2
neutralisers,Milk,2,100.0,2
glycerol monostearate,Paneer,2,100.0,2
denatured rapeseed oil,olive oil,2,100.0,2
harmful preservatives,ginger garlic paste,2,100.0,2
refined oils,vanaspati,1,50.0,2
soya bean fat,Ghee,1,50.0,2
harmful substances,Ghee,1,50.0,2
sub standard raw material,Ghee,1,50.0,2
sub standard raw material,oil,1,50.0,2
spurious material,chilli powder,1,50.0,2
spurious material,turmeric,1,50.0,2
sucrose,Milk,1,50.0,2
milk,refined oil,1,50.0,2
artificial fragrance,Ghee,1,50.0,2
cancer causing ingredient,red velvet cake,1,50.0,2
cancer causing ingredient,black forest cake,1,50.0,2
hydrogenated oil,Ghee,1,50.0,2
harmful colouring agents,sweets,1,50.0,2
artificial colouring,doughnuts,1,50.0,2
substandard ghee,Tirupati laddu,1,50.0,2
dangerous chemicals,Ghee,1,50.0,2
chalk,salt,1,50.0,2
chalk,sugar,1,50.0,2
low quality oils,dairy products,1,50.0,2
palm seeds,betel nuts,1,50.0,2
synthetic materials,Ghee,1,50.0,2
unsafe ingredients,ice candies,1,50.0,2
unsafe ingredients,lassi,1,50.0,2
synthetic fat,Khoya/mawa,1,50.0,2
fake khoya,mithai,1,50.0,2
artificial flavours,Ghee,1,50.0,2
refined oils,Ghee,1,50.0,2
impurities,tirupati laddus,1,50.0,2
soya bean fat,Tirupati laddu,1,50.0,2
bathroom chemicals,tirupati laddus,1,50.0,2
bathroom chemicals,Ghee,1,50.0,2
synthetic substance,Ghee,1,50.0,2
synthetic substance,tirumala laddus,1,50.0,2
contaminated substance,Ghee,1,50.0,2
trans fats,hydrogenated oils,1,50.0,2
trans fats,Ghee,1,50.0,2
decayed cashew nuts,cashew nuts,1,50.0,2
dangerous chemicals,Khoya/mawa,1,50.0,2
decayed cashew nuts,sweets,1,50.0,2
artificial colors,sweets,1,50.0,2
insects,split cashews,1,50.0,2
synthetic fat,Ghee,1,50.0,2
labsa,Ghee,1,50.0,2
labsa,Tirupati laddu,1,50.0,2
substandard ghee,Ghee,1,50.0,2
synthetic materials,Khoya/mawa,1,50.0,2
unhygienic and inferior quality,Paneer,1,50.0,2
unhygienic and inferior quality,kalakand,1,50.0,2
rat poison,maggi noodles,1,50.0,2
rat poison,Milk,1,50.0,2
sunset yellow,tea powder,1,50.0,2
embalming powder,Milk,1,50.0,2
embalming powder,biscuits,1,50.0,2
fake khoya,Khoya/mawa,1,50.0,2
inexpensive ingredients,Khoya/mawa,1,50.0,2
inexpensive ingredients,Paneer,1,50.0,2
non permitted colouring agents,chilli gobi,1,50.0,2
non permitted colouring agents,chicken,1,50.0,2
unapproved colours,gobi manchurian,1,50.0,2
unapproved colours,chicken manchurian,1,50.0,2
sucrose,Paneer,1,50.0,2
plastic waste,Milk,1,50.0,2
plastic waste,meat,1,50.0,2
hexachlorobenzene,Milk,1,50.0,2
hexachlorobenzene,Cheese,1,50.0,2
mineral oils,Milk,1,50.0,2
melamine,Milk,1,50.0,2
inferior fats,Ghee,1,50.0,2
inferior fats,edible oils,1,50.0,2
industrial dyes,spices,1,50.0,2
saccharin,Paneer,1,50.0,2
impurities,Ghee,1,50.0,2
colours,basmati rice,1,50.0,2
colours,tea,1,50.0,2
harmful colouring agents,chilli powder,1,50.0,2
contaminants,prawns,1,50.0,2
sewage,municipal water supply,1,50.0,2
artificial flavours,edible oils,1,50.0,2
industrial dyes,mithai,1,50.0,2
uranium,drinking water,1,50.0,2
sewage,drinking water,1,50.0,2
uranium,food grains,1,50.0,2
milk,glycol,1,50.0,2
artificial colouring,tea leaves,1,50.0,2
hydrocyanic acid,edible oils,1,50.0,2
harmful substances,Palm oil,1,50.0,2
saccharin,toast,1,50.0,2
contaminated substance,Paneer,1,50.0,2
insects,roasted flattened rice,1,50.0,2
hydrogenated oil,Paneer,1,50.0,2
low quality oils,Paneer,1,50.0,2
artificial sweeteners,Milk,1,50.0,2
artificial fragrance,laddu,1,50.0,2
mineral oils,black pepper,1,50.0,2
hydrocyanic acid,Edible/cooking oil,1,50.0,2
substandard quality,Mustard oil,1,50.0,2
tri ortho cresyl phosphate,rapeseed oil,1,50.0,2
palm seeds,betel nut,1,50.0,2
sunset yellow,namkeen,1,50.0,2
used motor oil,Edible/cooking oil,1,50.0,2
used motor oil,hair oil,1,50.0,2
expired cooking oil,Edible/cooking oil,1,50.0,2
artificial colors,food items,1,50.0,2
mislabeling,Soybean oil,1,50.0,2
mislabeling,Palm oil,1,50.0,2
fake fssai numbers,kera surya,1,50.0,2
fake fssai numbers,kera haritham,1,50.0,2
harmful colours,fast foods,1,50.0,2
calcium hydroxide,Paneer,1,50.0,2
calcium hydroxide,Milk,1,50.0,2
melamine,infant formula,1,50.0,2
expired cooking oil,Soybean oil,1,50.0,2
harmful colours,sweets,1,50.0,2
seed oil,extra virgin olive oil,1,50.0,2
contaminants,Edible/cooking oil,1,50.0,2
tri ortho cresyl phosphate,edible oils,1,50.0,2
expired ingredients,bakery products,1,50.0,2
expired ingredients,salty snacks,1,50.0,2
argemone mexicana,mustard seeds,1,50.0,2
argemone mexicana,Mustard oil,1,50.0,2
artificial flavoring,truffle oil,1,50.0,2
artificial flavoring,truffle,1,50.0,2
escolar,fish,1,50.0,2
escolar,tuna,1,50.0,2
powdered milk,Milk,1,50.0,2
artificial coloring,turmeric,1,50.0,2
artificial coloring,chilli powder,1,50.0,2
seed oil,olive oil,1,50.0,2
substandard quality,Khoya/mawa,1,50.0,2
powdered milk,Khoya/mawa,1,50.0,2
potato pulp,vegetable sauce,1,50.0,2
potato pulp,soy sauce,1,50.0,2
artificial sweeteners,honey,1,50.0,2
cornflour,ginger garlic paste,1,100.0,1
artificial flavourings,Ghee,1,100.0,1
chemical flavouring agents,Ghee,1,100.0,1
adulterated cow ghee,laddu prasadam,1,100.0,1
artificial flavouring,Ghee,1,100.0,1
scent,Ghee,1,100.0,1
synthetic material,Ghee,1,100.0,1
animal skin,Ghee,1,100.0,1
animal bones,Ghee,1,100.0,1
counterfeit ghee,Ghee,1,100.0,1
mosquitoes and houseflies,Ghee,1,100.0,1
colouring powders,Ghee,1,100.0,1
rapeseed,Ghee,1,100.0,1
cottonseed,Ghee,1,100.0,1
flavor,Ghee,1,100.0,1
banned colours,jaggery,1,100.0,1
polyester,silk dupatta,1,100.0,1
vegetable refined oil,Ghee,1,100.0,1
butter flavour,Ghee,1,100.0,1
maltodextrin powder,Milk,1,100.0,1
sulfates,Milk,1,100.0,1
phosphates,Milk,1,100.0,1
carbonate oils,Milk,1,100.0,1
palm kernel derivatives,Ghee,1,100.0,1
tainted ghee,laddu,1,100.0,1
artificial substance,Paneer,1,100.0,1
food colouring,Ghee,1,100.0,1
underweight egg,egg,1,100.0,1
re heated oil,sweets and savouries,1,100.0,1
dalda cooking oil,Ghee,1,100.0,1
special type of chemical,Ghee,1,100.0,1
cheap fats,Ghee,1,100.0,1
cream,Ghee,1,100.0,1
duplicate ghee,Ghee,1,100.0,1
spurious coconut oil,Coconut oil,1,100.0,1
adulterated variants,Ghee,1,100.0,1
added fragrance,Ghee,1,100.0,1
excessive colours,sweets,1,100.0,1
additive,cake,1,100.0,1
synthetic blends,Ghee,1,100.0,1
flavouring essence,Ghee,1,100.0,1
margarine,Ghee,1,100.0,1
acetamiprid,spices,1,100.0,1
imidacloprid,spices,1,100.0,1
artificial ghee,Ghee,1,100.0,1
ghee like substance,Ghee,1,100.0,1
tainted oil,oil,1,100.0,1
procured ghee,Ghee,1,100.0,1
aroma,Ghee,1,100.0,1
low grade edible oils,Ghee,1,100.0,1
extraneous matter,salt,1,100.0,1
excessive color additives,traditional sweets,1,100.0,1
coolant,Milk,1,100.0,1
burnt engine oil,Ghee,1,100.0,1
palmoline oil,Ghee,1,100.0,1
iron filings,tea leaves,1,100.0,1
sweet potatoes,Ghee,1,100.0,1
clay,coffee powder,1,100.0,1
various chemicals,Ghee,1,100.0,1
pgpr liquid,cakes and buns,1,100.0,1
rotten spoiled vegetables,pickles,1,100.0,1
synthetic flavouring agents,Ghee,1,100.0,1
animal tallow,Ghee,1,100.0,1
unknown green leaf or seed powder,tea,1,100.0,1
ghee flavor,Ghee,1,100.0,1
plant based ingredients,Tirupati laddu,1,100.0,1
synthetic flavors,Ghee,1,100.0,1
low quality substances,Ghee,1,100.0,1
rotten meat,biryani,1,100.0,1
spoiled food items,hot dishes,1,100.0,1
contaminated ghee,Ghee,1,100.0,1
carotenoids,lard,1,100.0,1
carotenoids extracted from carrots,Ghee,1,100.0,1
artificial flavors,Khoya/mawa,1,100.0,1
other contaminants,Paneer,1,100.0,1
î² sitosterol,Ghee,1,100.0,1
chemically manufactured substance,Ghee,1,100.0,1
spoiled khoya,Khoya/mawa,1,100.0,1
adulterated ginger garlic paste,ginger garlic paste,1,100.0,1
buffalo grease,Ghee,1,100.0,1
fly infested,rasgullas,1,100.0,1
petroleum jelly,Ghee,1,100.0,1
buffalo fat,Ghee,1,100.0,1
spurious types of oils,Ghee,1,100.0,1
aluminium,mithai,1,100.0,1
diluted products,Ghee,1,100.0,1
cotton seeds,Ghee,1,100.0,1
fake saras ghee,Ghee,1,100.0,1
hazardous chemicals,Ghee,1,100.0,1
contaminated khoya,Khoya/mawa,1,100.0,1
chemical based flavouring agents,Ghee,1,100.0,1
toxic chemicals,Ghee,1,100.0,1
house flies,cooked chicken,1,100.0,1
unidentified white powder,Khoya/mawa,1,100.0,1
yellow food colour,Ghee,1,100.0,1
diglycerides,Ghee,1,100.0,1
fatty acid mono,Ghee,1,100.0,1
vegetable butter,Ghee,1,100.0,1
synthetic colouring,Ghee,1,100.0,1
impure substances,Ghee,1,100.0,1
fungal contamination,Khoya/mawa,1,100.0,1
flower oil,Ghee,1,100.0,1
palmolive oil,Ghee,1,100.0,1
non dairy substances,Ghee,1,100.0,1
stearin,Ghee,1,100.0,1
substances allegedly used for cleaning bathrooms,Ghee,1,100.0,1
red colour,turmeric powder,1,100.0,1
corn flour,turmeric powder,1,100.0,1
stale and hazardous cooking oil,Edible/cooking oil,1,100.0,1
cheese analogue products,Paneer,1,100.0,1
skimmed milk,Paneer,1,100.0,1
anti foam agents,Paneer,1,100.0,1
additives to extend shelf life,Ghee,1,100.0,1
karanja oil,Mustard oil,1,100.0,1
cyanide,Mustard oil,1,100.0,1
linseed oil,Mustard oil,1,100.0,1
almond oil,Ghee,1,100.0,1
ethylene chemicals,mangoes,1,100.0,1
low quality edible oils,Ghee,1,100.0,1
oil coloured with turmeric,Ghee,1,100.0,1
truffle oil,truffle,1,100.0,1
synthetic truffle aroma,truffle oil,1,100.0,1
chinese truffles,european truffles,1,100.0,1
lethal chemicals,Ghee,1,100.0,1
prohibited food colours,biryani,1,100.0,1
reprocessed oils,biryani,1,100.0,1
cheap quality spices,biryani,1,100.0,1
food colours,Ghee,1,100.0,1
nitrofurans,eggs,1,100.0,1
chemical powders,dry fruits,1,100.0,1
tofu,Paneer,1,100.0,1
packaged multigrain bread,Khoya/mawa,1,100.0,1
unauthorised chemical sprays,mangoes,1,100.0,1
ethylene like spray,mango,1,100.0,1
kernel oil,Ghee,1,100.0,1
ammonium carbonate,Milk,1,100.0,1
prohibited food items,pan masala,1,100.0,1
yellow chemical colour,Ghee,1,100.0,1
chemical colour,honey,1,100.0,1
waste rice powder,turmeric powder,1,100.0,1
non edible synthetic yellow colour,turmeric powder,1,100.0,1
ammonium bicarbonate,soya chunks,1,100.0,1
aniline dyes,chilli powder,1,100.0,1
wood powder,turmeric powder,1,100.0,1
edible oils,Ghee,1,100.0,1
ghee from sri vyshnavi dairy specialties,Ghee,1,100.0,1
synthetic fake ghee,Ghee,1,100.0,1
less expensive oils and fats,Ghee,1,100.0,1
colgate,Ghee,1,100.0,1
fungi,Curd/yoghurt,1,100.0,1
sanchi brand counterfeit ghee,Ghee,1,100.0,1
blended fats,Ghee,1,100.0,1
dead lizard,Curd/yoghurt,1,100.0,1
houseflies and mosquitoes,Ghee,1,100.0,1
life threatening chemicals,laddu,1,100.0,1
industrial fats,Ghee,1,100.0,1
mono and di glycerides,Ghee,1,100.0,1
fake amul labelled ghee,Ghee,1,100.0,1
herbicides,Ghee,1,100.0,1
unsafe substance,raw split chickpeas,1,100.0,1
artificial ghee flavours,Ghee,1,100.0,1
milk fat purity and acid profiles out of specification,ar dairy food pvt ltd,1,100.0,1
toxic substances,Ghee,1,100.0,1
bathroom cleaning chemicals,Ghee,1,100.0,1
plant oils,Ghee,1,100.0,1
flies,Paneer,1,100.0,1
low standard ingredients,laddu prasadam,1,100.0,1
synthetic compounds,Tirupati laddu,1,100.0,1
contaminated ingredients,adulterated food,1,100.0,1
concentrated citric acid,ginger garlic paste,1,100.0,1
xanthan gum,ginger garlic paste,1,100.0,1
low quality waste,ginger garlic paste,1,100.0,1
unhygienic conditions,peda,1,100.0,1
beef oil,Ghee,1,100.0,1
synthetic substances,Ghee,1,100.0,1
food grade lactic acid,Ghee,1,100.0,1
artificial ingredients,Khoya/mawa,1,100.0,1
yellow colouring,Ghee,1,100.0,1
yellow colour,Ghee,1,100.0,1
synthetic aroma,Ghee,1,100.0,1
counterfeit saras ghee,Ghee,1,100.0,1
chemical mixture,Ghee,1,100.0,1
colouring agents,Ghee,1,100.0,1
flavouring agents,Ghee,1,100.0,1
diphtheria bacteria,Milk,1,100.0,1
typhoid bacteria,Milk,1,100.0,1
bovine tuberculosis,Milk,1,100.0,1
septic sore throat bacteria,Milk,1,100.0,1
escherichia coli,Cheese,1,100.0,1
fungal toxin,protein powder,1,100.0,1
dioxins,Milk,1,100.0,1
prohibited synthetic ingredients,Paneer,1,100.0,1
coconut shell powder,tea powder,1,100.0,1
tartrazine,tea powder,1,100.0,1
toxic chemical essence,tea powder,1,100.0,1
analogue cheese products,Paneer,1,100.0,1
shigella dysenteriae,Milk,1,100.0,1
neutralizers,Milk,1,100.0,1
cheaper substitutes,sweets,1,100.0,1
carcinogenic toxics,Milk,1,100.0,1
advanced syrups,honey,1,100.0,1
sudan red,chilli powder,1,100.0,1
unidentified adulterant,Milk,1,100.0,1
soybean fat,Ghee,1,100.0,1
sunflower fat,Ghee,1,100.0,1
tinopal,Paneer,1,100.0,1
ala,Paneer,1,100.0,1
plant oil,Ghee,1,100.0,1
butter oil derived from cross bred cows,Ghee,1,100.0,1
ddt,Milk,1,100.0,1
harmful pathogens,powdered infant formula,1,100.0,1
enterococcus faecium,powdered infant formula,1,100.0,1
enterobacteriaceae,powdered infant formula,1,100.0,1
unauthorised food colours,mango pulp,1,100.0,1
substances not permitted under food safety regulations,mango pulp,1,100.0,1
liquid saffron coloured solution,mango pulp,1,100.0,1
cyclopiazonic acid,kodo millet,1,100.0,1
ergot,kodo millet,1,100.0,1
low quality milk substitutes,Paneer,1,100.0,1
insecticide,Milk,1,100.0,1
unauthorised food colors,mango pulp,1,100.0,1
various adulterating substances,mango pulp,1,100.0,1
fake mawa,Khoya/mawa,1,100.0,1
m seal,Milk,1,100.0,1
intoxicating substance,Milk,1,100.0,1
selfoss,Milk,1,100.0,1
toxic particles,food,1,100.0,1
nano plastics,baby food,1,100.0,1
adhesive compound,Milk,1,100.0,1
adulterated raw materials,Paneer,1,100.0,1
added colour,tea powder,1,100.0,1
bacterial contamination,chicken,1,100.0,1
low quality milk,Paneer,1,100.0,1
poor quality oil,chips,1,100.0,1
artificial additives,chips,1,100.0,1
excess preservatives,pickles,1,100.0,1
pathogens,Paneer,1,100.0,1
artificial allyl isothiocyanate,Mustard oil,1,100.0,1
campylobacter jejuni,Milk,1,100.0,1
synthetic mustard essence,Mustard oil,1,100.0,1
chocolate,mithai,1,100.0,1
benzoyl peroxide,wheat,1,100.0,1
fatty acids,Butter,1,100.0,1
substances containing carcinogenic elements,egg,1,100.0,1
viruses,tap water,1,100.0,1
carcinogenic compounds,street food,1,100.0,1
synthetic chemicals,Milk,1,100.0,1
hazardous additives,Milk,1,100.0,1
synthetic khoya,sweets,1,100.0,1
sugar syrup,honey,1,100.0,1
unverified herbal stimulants,protein supplements,1,100.0,1
synthetic agents,Paneer,1,100.0,1
chemical preservatives,meat,1,100.0,1
phosphoric acid,cool drinks,1,100.0,1
bacterial presence,Paneer,1,100.0,1
non dairy additives,Paneer,1,100.0,1
cereal flours,Milk,1,100.0,1
stale cooking oil,Edible/cooking oil,1,100.0,1
non dairy substitutes,Paneer,1,100.0,1
hazardous substances,birthday cake,1,100.0,1
unknown toxic substance,Milk,1,100.0,1
gum powder,ginger garlic paste,1,100.0,1
rotten and spoilt vegetables,pickles,1,100.0,1
oils,Paneer,1,100.0,1
fatty ingredients,Paneer,1,100.0,1
adulterated milk,Milk,1,100.0,1
adulterant_in_milk_sample,Milk,1,100.0,1
chemical nutrients,fruits and vegetables,1,100.0,1
deadly contaminants,medicinal syrups,1,100.0,1
unknown toxin,Milk,1,100.0,1
chemically treated ghee,Tirupati laddu,1,100.0,1
artificial flavour,Ghee,1,100.0,1
auramine o,sweets,1,100.0,1
sudan dyes,spices,1,100.0,1
tremetol,Milk,1,100.0,1
toxic adulterants,Milk,1,100.0,1
campylobacter,Milk,1,100.0,1
olive oil,Ghee,1,100.0,1
corn oil,Ghee,1,100.0,1
linoleic acid,Ghee,1,100.0,1
raw sewage,drinking water,1,100.0,1
chikki,eggs,1,100.0,1
banana,eggs,1,100.0,1
vibrio,oysters,1,100.0,1
dead spider,samosa,1,100.0,1
expired milk powder,Milk,1,100.0,1
bisphenol a,protein powder,1,100.0,1
garbage,Milk,1,100.0,1
adulterated sweets,sweets,1,100.0,1
adulterated ice cream,ice cream,1,100.0,1
cheaper industrial substitutes,edible oils,1,100.0,1
manganese,drinking water,1,100.0,1
iron,drinking water,1,100.0,1
fluoride,drinking water,1,100.0,1
bacteriological contamination,drinking water,1,100.0,1
steroids,whey protein,1,100.0,1
coolant oil,Milk,1,100.0,1
tcdd,fish,1,100.0,1
dioxin,Milk,1,100.0,1
synthetic sugar,sweets,1,100.0,1
adulteration,Milk,1,100.0,1
unauthorised colours,mango pulp,1,100.0,1
cow s milk,mango pulp,1,100.0,1
liquid saffron colour solution,mango pulp,1,100.0,1
gruel,Milk,1,100.0,1
flour based substances,Milk,1,100.0,1
artificial fat,Paneer,1,100.0,1
toxic industrial solvents,cough syrup,1,100.0,1
argemone seeds,mustard seeds,1,100.0,1
turmeric,sella rice,1,100.0,1
toxic adulterant,Milk,1,100.0,1
total polar compounds tpc,Edible/cooking oil,1,100.0,1
substandard,substandard flour,1,100.0,1
soap solution,Milk,1,100.0,1
diglyceride,spurious oils,1,100.0,1
mud,oil,1,100.0,1
sodium benzodiamine,motichoor laddu,1,100.0,1
unspecified adulterant in mustard oil,Mustard oil,1,100.0,1
glass pieces,bun muska,1,100.0,1
canola rapeseed mustard,Mustard oil,1,100.0,1
substandard mustard oil,Mustard oil,1,100.0,1
liquid paraffin,edible oils,1,100.0,1
degraded cooking oil,Edible/cooking oil,1,100.0,1
non permitted colour,channa bhujia,1,100.0,1
non permitted colours,sweets,1,100.0,1
duplicate masala powder,masala powder,1,100.0,1
plastic froth,Milk,1,100.0,1
total polar compound,Palm oil,1,100.0,1
various oils,edible oils,1,100.0,1
sulphur,Coconut oil,1,100.0,1
chemical adulterants,Paneer,1,100.0,1
poster colour,Milk,1,100.0,1
optical whitening agents,Milk,1,100.0,1
soybean based milk,Milk,1,100.0,1
unsafe condition,Paneer,1,100.0,1
industrial grade chemicals,Paneer,1,100.0,1
synthetic colourants,sweets,1,100.0,1
adulterated khoya,Khoya/mawa,1,100.0,1
sulphuric acid,Paneer,1,100.0,1
baking powder,Paneer,1,100.0,1
discarded skimmed milk,Paneer,1,100.0,1
bicarbonate of soda,Paneer,1,100.0,1
sulfuric acid,Paneer,1,100.0,1
safolite,Paneer,1,100.0,1
spurious colour,laddu,1,100.0,1
low grade oil,laddu,1,100.0,1
industrial oils,Edible/cooking oil,1,100.0,1
oil adulterants,Khoya/mawa,1,100.0,1
reused oil,Edible/cooking oil,1,100.0,1
refined coconut oil,Coconut oil,1,100.0,1
synthetic antioxidants,Coconut oil,1,100.0,1
dried papaya seeds,black pepper,1,100.0,1
dyes,Mustard oil,1,100.0,1
whey permeate powder,Paneer,1,100.0,1
low cost edible oil,higher valued oil,1,100.0,1
animal carcasses,adulterated oil,1,100.0,1
non edible food colours,sweets,1,100.0,1
diesel,Edible/cooking oil,1,100.0,1
cockroaches,Edible/cooking oil,1,100.0,1
cockroaches and rats,Edible/cooking oil,1,100.0,1
suspected adulteration,chilli powder,1,100.0,1
colourless liquid,Milk,1,100.0,1
old oil,new product,1,100.0,1
colour powder,ginger and garlic paste,1,100.0,1
white oil,Mustard oil,1,100.0,1
castor oil,Mustard oil,1,100.0,1
cotton seed oil,Mustard oil,1,100.0,1
hexane,Mustard oil,1,100.0,1
decayed and dead animal meat,fresh meat,1,100.0,1
decayed or spoiled meat,fresh meat,1,100.0,1
spurious edible oils,Coconut oil,1,100.0,1
false fortification claim,Palm oil,1,100.0,1
fake coconut oil,Coconut oil,1,100.0,1
argemone mexicana seed oil,Mustard oil,1,100.0,1
housefly infestation,eggs,1,100.0,1
damaged eggs,cakes,1,100.0,1
expired wheat flour,wheat flour,1,100.0,1
rotten matter,sweets,1,100.0,1
suspicious ingredients,sweets,1,100.0,1
paraffin,Coconut oil,1,100.0,1
unspecified adulterant in paneer,Paneer,1,100.0,1
acrylamide,Edible/cooking oil,1,100.0,1
acrolein,Edible/cooking oil,1,100.0,1
adulterated coconut oil,Coconut oil,1,100.0,1
argemone,Mustard oil,1,100.0,1
mouse droppings,cheeseburger,1,100.0,1
argemone mexicana seeds,Mustard oil,1,100.0,1
reused cooking oil,Edible/cooking oil,1,100.0,1
spoiled eggs,cakes,1,100.0,1
foul smelling substance,Paneer,1,100.0,1
unfit oil,reused oil,1,100.0,1
cooking oil,Paneer,1,100.0,1
linseed,Soybean oil,1,100.0,1
flax seed,Soybean oil,1,100.0,1
acid,Paneer,1,100.0,1
locally procured oils,branded edible oils,1,100.0,1
miscible oils,Mustard oil,1,100.0,1
alum,Milk,1,100.0,1
krista brand bandhani hing,hing,1,100.0,1
testa oil,Coconut oil,1,100.0,1
miscible oil,cooking oils,1,100.0,1
refined rice bran oil,Mustard oil,1,100.0,1
bogus oil,italian olive oil,1,100.0,1
cheaper oil,Sunflower oil,1,100.0,1
substandard materials,Khoya/mawa,1,100.0,1
high tpm,Edible/cooking oil,1,100.0,1
spurious cooking oil,Edible/cooking oil,1,100.0,1
hazardous storage contaminants,Edible/cooking oil,1,100.0,1
industrial colour,khowa,1,100.0,1
tilapia,tuna,1,100.0,1
pangasius,tuna,1,100.0,1
corn,coffee,1,100.0,1
soybeans,coffee,1,100.0,1
artificial wax,citrus fruits,1,100.0,1
salmon roe,sturgeon caviar,1,100.0,1
trout roe,sturgeon caviar,1,100.0,1
non sturgeon fish roe,caviar,1,100.0,1
artificial food colours,fried items,1,100.0,1
food colour,Khoya/mawa,1,100.0,1
substandard gram flour,namkeen,1,100.0,1
used edible oil,namkeen,1,100.0,1
sugar syrups,honey,1,100.0,1
unknown adulterant in rice bran oil,Rice bran oil,1,100.0,1
unknown adulterant in khoya,Khoya/mawa,1,100.0,1
