adulterant_or_substitute,food,distinct_articles,share_of_candidate_food_links_pct,candidate_total_food_link_articles
pesticide residue,chinese garlic,1,3.12,32
beef tallow,tirupati laddus,1,3.12,32
beef tallow,tirupati prasadam,1,3.12,32
beef tallow,Palm oil,1,3.12,32
pesticide residue,wheat flour,1,3.12,32
pesticide residue,rice,1,3.12,32
pesticide residue,Edible/cooking oil,1,3.12,32
pesticide residue,citrus fruits,1,3.12,32
lard/pig fat,Ghee,27,93.1,29
lard/pig fat,Tirupati laddu,1,3.45,29
lard/pig fat,tirupati laddus,1,3.45,29
refined oil,Ghee,9,34.62,26
refined oil,Milk,9,34.62,26
refined oil,Paneer,5,19.23,26
refined oil,Khoya/mawa,3,11.54,26
ethylene oxide,everest fish curry masala,3,12.5,24
ethylene oxide,spice mixes,2,8.33,24
ethylene oxide,madras curry powder,2,8.33,24
ethylene oxide,sambhar masala,2,8.33,24
ethylene oxide,curry powder masala,2,8.33,24
ethylene oxide,everest spice mix,2,8.33,24
ethylene oxide,guar gum,2,8.33,24
ethylene oxide,curry powder,2,8.33,24
ethylene oxide,spice products,1,4.17,24
ethylene oxide,spice blends,1,4.17,24
ethylene oxide,peppercorns,1,4.17,24
ethylene oxide,fish curry masala,1,4.17,24
ethylene oxide,spice mix,1,4.17,24
ethylene oxide,everest masala,1,4.17,24
ethylene oxide,mdh,1,4.17,24
acetic acid ester,Ghee,19,86.36,22
fish oil,Ghee,19,86.36,22
fish oil,Tirupati laddu,2,9.09,22
fish oil,tirupati laddus,1,4.55,22
acetic acid ester,Coconut oil,1,4.55,22
acetic acid ester,Palm oil,1,4.55,22
acetic acid ester,palm kernel oil,1,4.55,22
adulterant,Ghee,7,36.84,19
adulterant,Milk,3,15.79,19
adulterant,Tirupati laddu,2,10.53,19
adulterant,ginger garlic paste,1,5.26,19
adulterant,Paneer,1,5.26,19
adulterant,spices,1,5.26,19
adulterant,processed food,1,5.26,19
adulterant,Khoya/mawa,1,5.26,19
adulterant,Cheese,1,5.26,19
adulterant,Mustard oil,1,5.26,19
salmonella,Milk,2,11.11,18
salmonella,eggs,2,11.11,18
salmonella,mdh sambhar masala,2,11.11,18
salmonella,everest garam masala,2,11.11,18
salmonella,sambhar masala,2,11.11,18
salmonella,maggi masala ae magic,2,11.11,18
salmonella,watermelon,1,5.56,18
salmonella,dairy products,1,5.56,18
salmonella,poultry,1,5.56,18
salmonella,raw sprouts,1,5.56,18
salmonella,leafy greens,1,5.56,18
salmonella,pre cut fruits,1,5.56,18
soybean oil,Ghee,8,47.06,17
milk powder,Khoya/mawa,7,41.18,17
milk powder,Milk,3,17.65,17
milk powder,Paneer,3,17.65,17
soybean oil,Milk,2,11.76,17
milk powder,Curd/yoghurt,2,11.76,17
soybean oil,Mustard oil,2,11.76,17
milk powder,Ghee,1,5.88,17
milk powder,special barfi,1,5.88,17
soybean oil,Edible/cooking oil,1,5.88,17
soybean oil,avocado oil,1,5.88,17
soybean oil,Sunflower oil,1,5.88,17
soybean oil,olive oil,1,5.88,17
soybean oil,Palm oil,1,5.88,17
beta carotene,Ghee,15,93.75,16
beta carotene,olive oil,1,6.25,16
e coli,Milk,2,13.33,15
e coli,watermelon,1,6.67,15
e coli,hamburgers,1,6.67,15
e coli,cider,1,6.67,15
e coli,juice,1,6.67,15
e coli,Cheese,1,6.67,15
e coli,ice cream,1,6.67,15
e coli,eggs,1,6.67,15
e coli,undercooked beef,1,6.67,15
e coli,raw sprouts,1,6.67,15
e coli,leafy greens,1,6.67,15
e coli,pre cut fruits,1,6.67,15
e coli,Paneer,1,6.67,15
e coli,onions,1,6.67,15
edible oil,Milk,12,85.71,14
formalin/formaldehyde,Milk,6,42.86,14
ghee,Tirupati laddu,5,35.71,14
formalin/formaldehyde,fish,5,35.71,14
ghee,srivari laddu prasadam,2,14.29,14
edible oil,Paneer,2,14.29,14
formalin/formaldehyde,Paneer,1,7.14,14
ghee,laddu prasadam,1,7.14,14
ghee,srivari laddu,1,7.14,14
ghee,laddu,1,7.14,14
ghee,ttd laddu,1,7.14,14
ghee,beta sitosterol,1,7.14,14
