flags,round,title,url,edible_terms,nonoil_terms,reuse_evidence
B_NO_EDIBLE_TERM,4,Food Safety wing to step up checks on curry powders in Kerala,https://www.thehindu.com/news/national/kerala/food-safety-wing-to-step-up-checks-on-curry-powders-in-kerala/article65700040.ece,,,
B_NO_EDIBLE_TERM,4,"Over 4,000 litre of adulterated oil seized from Chennai store",https://indianexpress.com/article/cities/chennai/over-4-litre-of-adulterated-oil-seized-from-chennai-store-8107733/,,,
C_NONOIL_FOOD_DOMINANT,1,Maha FDA seizes edible oil worth Rs23L | Nagpur News - The Times of India,https://timesofindia.indiatimes.com/city/nagpur/maha-fda-seizes-edible-oil-worth-rs23l/articleshow/124589903.cms,edible oil,paneer; curd; sweets,
C_NONOIL_FOOD_DOMINANT,0,17k litres of adulterated coconut oil seized Thiruvananthapuram,https://www.newindianexpress.com/cities/thiruvananthapuram/2025/Aug/20/17k-litres-of-adulterated-coconut-oil-seized,coconut oil,milk; ghee; dairy products,
C_NONOIL_FOOD_DOMINANT,4,145 Kgs of Rasgullas and namkeens destroyed ahead of Diwali in Noida: 3 ways to check adul,https://timesofindia.indiatimes.com/life-style/food-news/145-kgs-of-rasgullas-and-namkeens-destroyed-ahead-of-diwali-in-noida/articleshow/124574873.cms,mustard oil,milk; dairy products; khoya; mawa; sweets,
C_NONOIL_FOOD_DOMINANT,4,Pre-Diwali crackdown on food adulteration in Lucknow,https://www.hindustantimes.com/cities/lucknow-news/prediwali-crackdown-on-food-adulteration-in-lucknow-101760112550766.html,mustard oil,milk; khoya; sweets; flour,
C_NONOIL_FOOD_DOMINANT,4,Crackdown on adulteration: Food Safety Department conducts raids in Mussoorie,https://garhwalpost.in/crackdown-on-adulteration-food-safety-department-conducts-raids-in-mussoorie/,mustard oil,milk; paneer; mawa; cheese; spices,
C_NONOIL_FOOD_DOMINANT,4,"Almost 3,000 quintals of spurious food seized, 1,155 quintals destroyed ahead of Diwali in",https://www.hindustantimes.com/india-news/almost-3-000-quintals-of-spurious-food-seized-1-155-quintals-destroyed-ahead-of-diwali-in-up-101760536940401.html,soybean oil,paneer; khoya; sweets,
C_NONOIL_FOOD_DOMINANT,4,FDA Raid on 21 Food Establishments in Kanpur,https://timesofindia.indiatimes.com/city/kanpur/fda-raid-on-21-food-establishments-in-kanpur/articleshow/112599302.cms,mustard oil,milk; dairy products; mawa; spices; turmeric; chili,
C_NONOIL_FOOD_DOMINANT,4,"FDA cracks whip on sweetmarts, namkeen makers before Diwali",https://timesofindia.indiatimes.com/city/nagpur/fda-cracks-whip-on-sweetmarts-namkeen-makers-before-diwali/articleshow/87495424.cms,edible oil,milk; khoya; mawa; sweets,
C_NONOIL_FOOD_DOMINANT,4,"Maharashtra FDA Cracks Down On Banned Gutkha And Adulterated Food, Arrests 102 Persons And",https://www.freepressjournal.in/mumbai/maharashtra-fda-cracks-down-on-banned-gutkha-and-adulterated-food-arrests-102-persons-and-seizes-goods-worth-158-crore-in-one-week,edible oil,dairy products; khoya; spices; masala; sweets,
C_NONOIL_FOOD_DOMINANT,4,"Assam food safety raids uncover illegal fruit ripening, unsafe food products",https://assamtribune.com/guwahati/assam-food-safety-raids-uncover-illegal-fruit-ripening-unsafe-food-products-1612781,mustard oil,milk; paneer; butter; cheese; spice; masala,
