model_name,representation,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn
hf_roberta-base_oil_window_512,title_plus_oil_windows,0.716,0.5021,0.8417,0.629,0.8414,0.6828,117,116,22,231
hf_distilbert-base-uncased_oil_window_512,title_plus_oil_windows,0.7469,0.546,0.6835,0.607,0.8294,0.6267,95,79,44,268
hf_distilbert-base-uncased_chunk_pool_full,title_plus_body_full,0.7716,0.6,0.6043,0.6022,0.8368,0.6566,84,56,55,291
emb_bge-large_linsvm,oil_window_embedding,0.8128,0.875,0.4029,0.5517,0.8988,0.8082,56,8,83,339
emb_bge-large_linsvm,full_chunk_mean,0.7881,0.86,0.3094,0.455,0.8976,0.7964,43,7,96,340
emb_e5-large_linsvm,oil_window_embedding,0.7922,0.913,0.3022,0.4541,0.8876,0.7814,42,4,97,343
emb_mpnet_linsvm,oil_window_embedding,0.7819,0.8235,0.3022,0.4421,0.869,0.7307,42,9,97,338
emb_minilm_linsvm,oil_window_embedding,0.7798,0.8077,0.3022,0.4398,0.8588,0.6831,42,10,97,337
emb_mpnet_linsvm,full_chunk_max,0.7819,0.8367,0.295,0.4362,0.8569,0.7404,41,8,98,339
emb_bge-large_linsvm,full_chunk_max,0.7819,0.8837,0.2734,0.4176,0.8988,0.8039,38,5,101,342
emb_mpnet_linsvm,full_chunk_mean,0.7695,0.814,0.2518,0.3846,0.8545,0.7119,35,8,104,339
emb_minilm_linsvm,full_chunk_max,0.7654,0.8788,0.2086,0.3372,0.8376,0.69,29,4,110,343
emb_e5-large_linsvm,full_chunk_mean,0.7634,0.8529,0.2086,0.3353,0.849,0.7086,29,5,110,342
emb_e5-large_linsvm,full_chunk_max,0.7613,0.8966,0.1871,0.3095,0.8643,0.7514,26,3,113,344
emb_minilm_linsvm,full_chunk_mean,0.7305,0.6429,0.1295,0.2156,0.8245,0.6296,18,10,121,337
