url,action,old_final_keep,new_final_keep,title
https://timesofindia.indiatimes.com/life-style/food-news/dark-discoloration-high-tpc-levels-found-in-cooking-oil-of-famous-fast-food-chain-what-fssai-says-about-the-health-risks/articleshow/130833701.cms,FLIP_relevant_to_irrelevant,1,0,"Dark discoloration, high TPC levels found in used cooking oil of famous fast food chain: What FSSAI says about the health risks"
https://www.siasat.com/hyderabad-food-safety-inspection-flags-unsafe-oil-at-kfc-outlet-in-kondapur-3465689/,FLIP_relevant_to_irrelevant,1,0,Hyderabad: Food safety inspection flags unsafe oil at KFC outlet in Kondapur
https://www.indiatoday.in/cities/hyderabad/story/cyberabad-food-adulteration-raids-hyderabad-rs-64-lakh-seizure-28-arrested-2900680-2026-04-23?utm_source=rss,REMOVED_DUPLICATE,1,,"Food adulteration racket busted in Hyderabad; oil, namkeen worth lakhs seized"
https://timesofindia.indiatimes.com/city/hyderabad/tea-to-ice-creams-food-adulteration-on-the-rise-in-hyderabad/articleshow/108746726.cms,FLIP_relevant_to_irrelevant,1,0,Tea to ice creams food adulteration on the rise in Hyderabad
https://garhwalpost.in/crackdown-on-adulteration-food-safety-department-conducts-raids-in-mussoorie/,FLIP_relevant_to_irrelevant,1,0,Crackdown on adulteration: Food Safety Department conducts raids in Mussoorie
https://timesofindia.indiatimes.com/city/ranchi/ahead-of-diwali-crackdown-on-adulterated-food-items-in-city/articleshow/124610900.cms,FLIP_relevant_to_irrelevant,1,0,"Ahead of Diwali, crackdown on adulterated food items in city"
https://www.thehindu.com/news/national/andhra-pradesh/50-of-food-samples-collected-by-food-safety-department-officials-found-to-be-unsafe/article70252244.ece,FLIP_relevant_to_irrelevant,1,0,50% of food samples collected by Food Safety department officials found to be unsafe
https://www.thehindu.com/news/national/kerala/food-safety-wing-to-step-up-checks-on-curry-powders-in-kerala/article65700040.ece,FLIP_relevant_to_irrelevant,1,0,Food Safety wing to step up checks on curry powders in Kerala
https://timesofindia.indiatimes.com/city/bengaluru/think-before-you-snack-namkeens-dairy-products-top-list-of-unsafe-foods-in-karnataka/articleshow/131179662.cms,FLIP_relevant_to_irrelevant,1,0,Think before you snack: Namkeens & dairy products top list of unsafe foods in Karnataka
https://www.freepressjournal.in/mumbai/maharashtra-fda-cracks-down-on-banned-gutkha-and-adulterated-food-arrests-102-persons-and-seizes-goods-worth-158-crore-in-one-week,FLIP_relevant_to_irrelevant,1,0,"Maharashtra FDA Cracks Down On Banned Gutkha And Adulterated Food, Arrests 102 Persons And Seizes Goods Worth ₹1.58 Crore In One Week"
https://www.livemint.com/news/india/34-people-fall-ill-in-suspected-food-poisoning-case-after-eating-pizza-in-maharashtra-s-bhiwandi-11781889067823.html,FLIP_relevant_to_irrelevant,1,0,34 people fall ill in suspected food poisoning case after eating pizza in Maharashtra’s Bhiwandi
https://www.thehindu.com/news/national/telangana/h-fast-raids-unlicensed-food-godown-in-charminar-seizes-adulterated-food/article71121824.ece,FLIP_relevant_to_irrelevant,1,0,"H-FAST raids unlicensed food godown in Charminar, seizes adulterated food"
https://www.siasat.com/food-raids-in-telangana-snacks-worth-over-rs-60k-seized-license-suspended-3148653/,FLIP_relevant_to_irrelevant,1,0,"Food raids in Telangana: Snacks worth over Rs 60K seized, license suspended"
